suburb_name,suburb_postcode,suburb_region_name,suburb_property_count,suburb_council_area,suburb_rental_dailyprice,suburb_id
Abbotsford,3067.0,Northern Metropolitan,4019.0,['Yarra'],138.12921348314606,0
Airport West,3042.0,Western Metropolitan,3464.0,['Moonee Valley'],82.1,1
Albert Park,3206.0,Southern Metropolitan,3280.0,['Port Phillip'],230.62222222222223,2
Alphington,3078.0,Northern Metropolitan,2211.0,"['Darebin', 'Yarra']",101.71153846153848,3
Altona,3018.0,Western Metropolitan,5301.0,['Hobsons Bay'],88.25,4
Altona North,3025.0,Western Metropolitan,5132.0,['Hobsons Bay'],,5
Armadale,3143.0,Southern Metropolitan,4836.0,['Stonnington'],205.0888888888889,6
Ascot Vale,3032.0,Western Metropolitan,6567.0,['Moonee Valley'],113.55102040816328,7
Ashburton,3147.0,Southern Metropolitan,3052.0,['Boroondara'],86.11111111111111,8
Ashwood,3147.0,Southern Metropolitan,2894.0,['Monash'],86.11111111111111,9
Avondale Heights,3034.0,Western Metropolitan,4502.0,['Moonee Valley'],,10
Balaclava,3183.0,Southern Metropolitan,2952.0,['Port Phillip'],119.68617021276596,11
Balwyn,3103.0,Southern Metropolitan,5682.0,['Boroondara'],78.88461538461539,12
Balwyn North,3104.0,Southern Metropolitan,7809.0,['Boroondara'],76.41666666666667,13
Bentleigh,3204.0,Southern Metropolitan,6795.0,['Glen Eira'],144.86363636363637,14
Bentleigh East,3165.0,Southern Metropolitan,10969.0,['Glen Eira'],119.08,15
Box Hill,3128.0,Eastern Metropolitan,4605.0,['Whitehorse'],116.08130081300811,16
Braybrook,3019.0,Western Metropolitan,3589.0,['Maribyrnong'],,17
Brighton,3186.0,Southern Metropolitan,10579.0,['Bayside'],285.85714285714283,18
Brighton East,3187.0,Southern Metropolitan,6938.0,"['Bayside', 'Glen Eira']",175.89655172413794,19
Brunswick,3056.0,Northern Metropolitan,11918.0,['Moreland'],99.17571884984024,20
Brunswick West,3055.0,Northern Metropolitan,7082.0,['Moreland'],90.10344827586206,21
Bulleen,3105.0,Eastern Metropolitan,4480.0,['Manningham'],,22
Burwood,3125.0,Southern Metropolitan,5678.0,"['Whitehorse', 'Monash']",103.4074074074074,23
Camberwell,3124.0,Southern Metropolitan,8920.0,['Boroondara'],157.3913043478261,24
Canterbury,3126.0,Southern Metropolitan,3265.0,['Boroondara'],,25
Carlton North,3054.0,Northern Metropolitan,3106.0,['Yarra'],137.37373737373738,26
Carnegie,3163.0,Southern Metropolitan,7822.0,['Glen Eira'],98.58510638297872,27
Caulfield,3162.0,Southern Metropolitan,2379.0,['Glen Eira'],150.0888888888889,28
Caulfield North,3161.0,Southern Metropolitan,6923.0,['Glen Eira'],135.07692307692307,29
Caulfield South,3162.0,Southern Metropolitan,5051.0,['Glen Eira'],150.0888888888889,30
Chadstone,3148.0,Southern Metropolitan,3582.0,['Monash'],,31
Clifton Hill,3068.0,Northern Metropolitan,2954.0,['Yarra'],132.0497737556561,32
Coburg,3058.0,Northern Metropolitan,11204.0,['Moreland'],110.05813953488372,33
Coburg North,3058.0,Northern Metropolitan,3445.0,"['Moreland', 'Darebin']",110.05813953488372,34
Collingwood,3066.0,Northern Metropolitan,4553.0,['Yarra'],151.13809523809525,35
Doncaster,3108.0,Eastern Metropolitan,9028.0,['Manningham'],144.19298245614036,36
Eaglemont,3084.0,Eastern Metropolitan,1651.0,['Banyule'],114.3939393939394,37
Elsternwick,3185.0,Southern Metropolitan,4898.0,['Glen Eira'],144.39655172413794,38
Elwood,3184.0,Southern Metropolitan,8989.0,"['Port Phillip', 'Glen Eira']",153.41810344827587,39
Essendon,3040.0,Western Metropolitan,9264.0,['Moonee Valley'],124.88,40
Essendon North,3041.0,Western Metropolitan,1308.0,['Moonee Valley'],,41
Fairfield,3078.0,Northern Metropolitan,2970.0,"['Darebin', 'Yarra']",101.71153846153848,42
Fitzroy,3065.0,Northern Metropolitan,5825.0,['Yarra'],158.23549488054607,43
Fitzroy North,3068.0,Northern Metropolitan,6244.0,"['Yarra', 'Moreland']",132.0497737556561,44
Flemington,3031.0,Northern Metropolitan,3593.0,"['Moonee Valley', 'Melbourne']",128.85401459854015,45
Footscray,3011.0,Western Metropolitan,7570.0,['Maribyrnong'],101.05,46
Glen Iris,3146.0,Southern Metropolitan,10412.0,"['Boroondara', 'Stonnington']",131.73333333333332,47
Glenroy,3046.0,Northern Metropolitan,8870.0,['Moreland'],73.17241379310344,48
Gowanbrae,3043.0,Western Metropolitan,1071.0,['Moreland'],84.88888888888889,49
Hadfield,3046.0,Northern Metropolitan,2606.0,['Moreland'],73.17241379310344,50
Hampton,3188.0,Southern Metropolitan,5454.0,"['Bayside', 'Unavailable']",253.4313725490196,51
Hampton East,3188.0,Southern Metropolitan,2356.0,"['Bayside', 'Kingston']",253.4313725490196,52
Hawthorn,3122.0,Southern Metropolitan,11308.0,['Boroondara'],209.14814814814812,53
Heidelberg Heights,3081.0,Eastern Metropolitan,2947.0,['Banyule'],90.1818181818182,54
Heidelberg West,3081.0,Eastern Metropolitan,2674.0,['Banyule'],90.1818181818182,55
Hughesdale,3166.0,Southern Metropolitan,3145.0,['Monash'],94.38095238095238,56
